table_name,column_name,data_type,status,null_count,null_pct,distinct_count
transactions,hash,String,OK,0,0.0,3000
transactions,size,Int64,NOT_CHECKED,0,0.0,227
transactions,virtual_size,Int64,NOT_CHECKED,0,0.0,190
transactions,version,Int64,NOT_CHECKED,0,0.0,2
transactions,lock_time,Int64,NOT_CHECKED,0,0.0,19
transactions,block_hash,String,OK,0,0.0,2185
transactions,block_number,Int64,NOT_CHECKED,0,0.0,2185
transactions,block_timestamp,"Datetime(time_unit='ns', time_zone='UTC')",OK,0,0.0,2184
transactions,block_timestamp_month,Date,OK,0,0.0,2
transactions,input_count,Int64,NOT_CHECKED,0,0.0,18
transactions,output_count,Int64,NOT_CHECKED,0,0.0,25
transactions,input_value,"Decimal(precision=38, scale=9)",NOT_CHECKED,2184,72.8,788
transactions,output_value,"Decimal(precision=38, scale=9)",NOT_CHECKED,0,0.0,785
transactions,is_coinbase,Boolean,NOT_CHECKED,0,0.0,2
transactions,fee,"Decimal(precision=38, scale=9)",NOT_CHECKED,0,0.0,349
transactions,inputs,"List(Struct({'index': Int64, 'spent_transaction_hash': String, 'spent_output_index': Int64, 'script_asm': String, 'script_hex': String, 'sequence': Int64, 'required_signatures': Int64, 'type': String, 'addresses': List(String), 'value': Decimal(precision=38, scale=9)}))",NOT_CHECKED,0,0.0,
transactions,outputs,"List(Struct({'index': Int64, 'script_asm': String, 'script_hex': String, 'required_signatures': Int64, 'type': String, 'addresses': List(String), 'value': Decimal(precision=38, scale=9)}))",NOT_CHECKED,0,0.0,
