table_name,column_name,data_type,status,null_count,null_pct,distinct_count
fct_avaibility,station_code,Int64,NOT_CHECKED,0,0.0,1498
fct_avaibility,station_name,String,ERROR,0,0.0,1495
fct_avaibility,capacity,Int64,NOT_CHECKED,5,0.05,74
fct_avaibility,docks_available,Int64,NOT_CHECKED,0,0.0,68
fct_avaibility,mechanical,Int64,NOT_CHECKED,0,0.0,64
fct_avaibility,ebike,Int64,NOT_CHECKED,0,0.0,37
fct_avaibility,duedate,"Datetime(time_unit='ns', time_zone='UTC')",OK,0,0.0,9978
fct_avaibility,bikes_available,Int64,NOT_CHECKED,0,0.0,69
fct_avaibility,rate_bike_available,Float64,NOT_CHECKED,956,9.56,1084
fct_avaibility,rate_dock_available,Float64,NOT_CHECKED,956,9.56,1058
fct_avaibility,bikes_out_of_order,Int64,NOT_CHECKED,5,0.05,98
fct_avaibility,collected_at,"Datetime(time_unit='ns', time_zone=None)",OK,0,0.0,7562
fct_avaibility,rounded_collected_at,"Datetime(time_unit='ns', time_zone=None)",OK,0,0.0,7562
