table_name,column_name,data_type,status,null_count,null_pct,distinct_count
fct_avaibility_part,station_code,Int64,NOT_CHECKED,0,0,1461
fct_avaibility_part,station_name,String,ERROR,0,0,1458
fct_avaibility_part,capacity,Int64,NOT_CHECKED,0,0,66
fct_avaibility_part,docks_available,Int64,NOT_CHECKED,0,0,72
fct_avaibility_part,mechanical,Int64,NOT_CHECKED,0,0,65
fct_avaibility_part,ebike,Int64,NOT_CHECKED,0,0,34
fct_avaibility_part,duedate,TIMESTAMP,NOT_LOADED,N/A,N/A,N/A
fct_avaibility_part,bikes_available,Int64,NOT_CHECKED,0,0,69
fct_avaibility_part,rate_bike_available,Float64,NOT_CHECKED,0,0,1010
fct_avaibility_part,rate_dock_available,Float64,NOT_CHECKED,0,0,1029
fct_avaibility_part,bikes_out_of_order,Int64,NOT_CHECKED,0,0,40
fct_avaibility_part,collected_at,"Datetime(time_unit='ns', time_zone=None)",OK,0,0,2625
fct_avaibility_part,rounded_collected_at,"Datetime(time_unit='ns', time_zone=None)",OK,0,0,2625
